framenr,riders,numbers,boxes
161,"['Daan HOOLE', 'Søren KRAGH ANDERSEN', 'Guillaume VAN KEIRSBULCK', 'Guillaume VAN KEIRSBULCK', 'Elmar REINDERS', 'Elmar REINDERS', 'Jasper DE BUYST']","['53', '5', '221', '221', '86', '86', '43']","[(1340, 636, 1431, 742), (1500, 645, 1598, 760), (714, 445, 757, 494), (759, 448, 797, 491), (1115, 519, 1177, 589), (1173, 516, 1234, 584), (1016, 491, 1068, 547)]"
162,"['Daan HOOLE', 'Søren KRAGH ANDERSEN', 'Guillaume VAN KEIRSBULCK', 'Guillaume VAN KEIRSBULCK', 'Elmar REINDERS', 'Elmar REINDERS', 'Jasper DE BUYST']","['53', '5', '221', '221', '86', '86', '43']","[(1346, 635, 1444, 744), (1515, 650, 1607, 766), (712, 447, 755, 493), (756, 448, 793, 490), (1117, 519, 1180, 589), (1175, 517, 1237, 585), (1012, 493, 1067, 548)]"
163,"['Daan HOOLE', 'Søren KRAGH ANDERSEN', 'Guillaume VAN KEIRSBULCK', 'Guillaume VAN KEIRSBULCK', 'Elmar REINDERS', 'Elmar REINDERS', 'Jasper DE BUYST']","['53', '5', '221', '221', '86', '86', '43']","[(1351, 636, 1449, 742), (1516, 646, 1606, 764), (710, 447, 753, 494), (746, 449, 783, 494), (1120, 522, 1181, 591), (1178, 520, 1238, 586), (1011, 495, 1062, 549)]"
164,"['Daan HOOLE', 'Søren KRAGH ANDERSEN', 'Guillaume VAN KEIRSBULCK', 'Guillaume VAN KEIRSBULCK', 'Elmar REINDERS', 'Elmar REINDERS', 'Jasper DE BUYST', 'Michael GOGL']","['53', '5', '221', '221', '86', '86', '43', '4']","[(1357, 635, 1454, 742), (1519, 644, 1618, 762), (707, 451, 751, 495), (749, 453, 787, 496), (1120, 525, 1182, 595), (1180, 525, 1239, 593), (1008, 495, 1058, 550), (1044, 497, 1084, 548)]"
165,"['Daan HOOLE', 'Søren KRAGH ANDERSEN', 'Guillaume VAN KEIRSBULCK', 'Guillaume VAN KEIRSBULCK', 'Elmar REINDERS', 'Elmar REINDERS', 'Jasper DE BUYST', 'Michael GOGL']","['53', '5', '221', '221', '86', '86', '43', '4']","[(1359, 641, 1464, 747), (1523, 645, 1624, 758), (707, 454, 750, 497), (747, 458, 786, 499), (1120, 526, 1183, 597), (1180, 528, 1239, 596), (1005, 497, 1056, 553), (1044, 499, 1085, 552)]"
166,"['Daan HOOLE', 'Søren KRAGH ANDERSEN', 'Guillaume VAN KEIRSBULCK', 'Guillaume VAN KEIRSBULCK', 'Elmar REINDERS', 'Elmar REINDERS', 'Jasper DE BUYST', 'Michael GOGL', 'Michael GOGL']","['53', '5', '221', '221', '86', '86', '43', '4', '4']","[(1360, 643, 1473, 754), (1523, 647, 1625, 760), (705, 457, 749, 501), (746, 460, 785, 501), (1121, 528, 1182, 597), (1180, 529, 1239, 595), (1005, 498, 1056, 555), (1044, 498, 1086, 554), (576, 463, 611, 495)]"
167,"['Daan HOOLE', 'Søren KRAGH ANDERSEN', 'Guillaume VAN KEIRSBULCK', 'Guillaume VAN KEIRSBULCK', 'Elmar REINDERS', 'Elmar REINDERS', 'Jasper DE BUYST', 'Michael GOGL', 'Michael GOGL']","['53', '5', '221', '221', '86', '86', '43', '4', '4']","[(1367, 647, 1482, 757), (1526, 649, 1630, 756), (700, 459, 744, 506), (741, 462, 783, 505), (1123, 529, 1184, 597), (1182, 532, 1243, 596), (1005, 499, 1055, 554), (1041, 499, 1079, 553), (576, 463, 611, 495)]"
168,"['Daan HOOLE', 'Søren KRAGH ANDERSEN', 'Guillaume VAN KEIRSBULCK', 'Guillaume VAN KEIRSBULCK', 'Elmar REINDERS', 'Elmar REINDERS', 'Jasper DE BUYST', 'Michael GOGL', 'Michael GOGL']","['53', '5', '221', '221', '86', '86', '43', '4', '4']","[(1375, 651, 1490, 761), (1527, 646, 1632, 751), (698, 466, 742, 511), (738, 467, 782, 510), (1124, 529, 1186, 598), (1184, 532, 1244, 597), (1001, 504, 1049, 559), (1041, 503, 1081, 558), (576, 463, 611, 495)]"
169,"['Daan HOOLE', 'Søren KRAGH ANDERSEN', 'Guillaume VAN KEIRSBULCK', 'Guillaume VAN KEIRSBULCK', 'Elmar REINDERS', 'Elmar REINDERS', 'Jasper DE BUYST', 'Michael GOGL']","['53', '5', '221', '221', '86', '86', '43', '4']","[(1368, 651, 1485, 763), (1523, 642, 1629, 748), (697, 469, 738, 514), (736, 469, 777, 511), (1126, 530, 1187, 599), (1185, 533, 1245, 598), (1002, 505, 1050, 560), (1041, 505, 1081, 560)]"
170,"['Daan HOOLE', 'Søren KRAGH ANDERSEN', 'Guillaume VAN KEIRSBULCK', 'Guillaume VAN KEIRSBULCK', 'Elmar REINDERS', 'Elmar REINDERS', 'Jasper DE BUYST', 'Michael GOGL']","['53', '5', '221', '221', '86', '86', '43', '4']","[(1360, 650, 1482, 766), (1518, 640, 1622, 747), (694, 468, 736, 513), (735, 470, 775, 511), (1128, 530, 1188, 599), (1187, 532, 1247, 596), (999, 507, 1046, 560), (1036, 508, 1079, 558)]"
