framenr,riders,numbers,boxes
291,"['Kasper ASGREEN', 'Mads PEDERSEN', 'Kasper ASGREEN', 'Mads PEDERSEN', 'Wout VAN AERT', 'Stefan KÜNG', 'Wout VAN AERT', 'Connor SWIFT']","['72', '55', '72', '55', '11', '191', '662', '11', '67', '20']","[(1235, 432, 1337, 532), (786, 454, 860, 545), (1331, 421, 1438, 514), (869, 453, 941, 543), (972, 287, 1022, 354), (674, 298, 741, 363), (1043, 303, 1119, 371), (935, 290, 992, 357), (730, 318, 802, 376), (1129, 356, 1207, 428)]"
292,"['Kasper ASGREEN', 'Mads PEDERSEN', 'Kasper ASGREEN', 'Mads PEDERSEN', 'Wout VAN AERT', 'Stefan KÜNG', 'Wout VAN AERT', 'Connor SWIFT']","['72', '55', '72', '55', '11', '191', '662', '11', '67', '20']","[(1241, 420, 1344, 519), (787, 446, 862, 537), (1338, 406, 1447, 494), (870, 442, 941, 531), (968, 277, 1021, 341), (675, 287, 740, 354), (1042, 292, 1108, 358), (930, 281, 986, 344), (732, 314, 801, 367), (1125, 347, 1202, 425)]"
293,"['Kasper ASGREEN', 'Mads PEDERSEN', 'Kasper ASGREEN', 'Mads PEDERSEN', 'Wout VAN AERT', 'Stefan KÜNG', 'Wout VAN AERT', 'Connor SWIFT']","['72', '55', '72', '55', '11', '191', '662', '11', '67', '20']","[(1248, 406, 1354, 504), (793, 431, 863, 524), (1344, 391, 1454, 482), (873, 431, 948, 520), (956, 267, 1016, 328), (674, 279, 742, 343), (1042, 292, 1108, 358), (926, 271, 985, 332), (731, 312, 805, 367), (1125, 333, 1207, 416)]"
294,"['Kasper ASGREEN', 'Mads PEDERSEN', 'Kasper ASGREEN', 'Mads PEDERSEN', 'Wout VAN AERT', 'Stefan KÜNG', 'Wout VAN AERT', 'Xandro MEURISSE', 'Matteo JORGENSON', 'Mathieu VAN DER POEL']","['72', '55', '72', '55', '11', '191', '662', '11', '07', '204', '1']","[(1260, 389, 1369, 496), (797, 427, 872, 514), (1356, 377, 1466, 468), (876, 422, 952, 516), (925, 258, 984, 320), (675, 270, 743, 335), (1042, 292, 1108, 358), (926, 271, 985, 332), (739, 312, 807, 363), (1131, 326, 1220, 408), (964, 254, 1017, 315)]"
295,"['Kasper ASGREEN', 'Mads PEDERSEN', 'Kasper ASGREEN', 'Mads PEDERSEN', 'Wout VAN AERT', 'Stefan KÜNG', 'Wout VAN AERT', 'Xandro MEURISSE', 'Matteo JORGENSON', 'Mathieu VAN DER POEL', 'Mathieu VAN DER POEL']","['72', '55', '72', '55', '11', '191', '11', '07', '204', '1', '1']","[(1273, 379, 1377, 480), (802, 414, 875, 499), (1366, 366, 1475, 457), (883, 412, 957, 498), (949, 247, 1002, 303), (676, 260, 746, 328), (926, 271, 985, 332), (739, 312, 807, 363), (1130, 316, 1221, 401), (962, 245, 1015, 299), (742, 250, 804, 303)]"
296,"['Kasper ASGREEN', 'Mads PEDERSEN', 'Kasper ASGREEN', 'Mads PEDERSEN', 'Wout VAN AERT', 'Stefan KÜNG', 'Xandro MEURISSE', 'Matteo JORGENSON', 'Wout VAN AERT', 'Mathieu VAN DER POEL', 'Gianni VERMEERSCH']","['72', '55', '72', '55', '11', '191', '07', '204', '11', '1', '6']","[(1286, 367, 1392, 473), (808, 404, 884, 492), (1382, 357, 1491, 450), (894, 404, 968, 493), (940, 237, 1003, 294), (682, 253, 748, 320), (739, 312, 807, 363), (1138, 303, 1226, 393), (959, 237, 1018, 295), (742, 250, 804, 303), (1037, 251, 1113, 318)]"
297,"['Kasper ASGREEN', 'Mads PEDERSEN', 'Kasper ASGREEN', 'Mads PEDERSEN', 'Wout VAN AERT', 'Stefan KÜNG', 'Matteo JORGENSON', 'Wout VAN AERT', 'Mathieu VAN DER POEL']","['72', '55', '72', '55', '11', '191', '204', '11', '1', '665']","[(1299, 358, 1407, 464), (822, 400, 900, 485), (1399, 350, 1508, 445), (903, 397, 974, 488), (926, 231, 992, 291), (685, 245, 753, 312), (1142, 296, 1228, 389), (959, 237, 1018, 295), (742, 250, 804, 303), (1051, 242, 1123, 304)]"
298,"['Kasper ASGREEN', 'Mads PEDERSEN', 'Kasper ASGREEN', 'Mads PEDERSEN', 'Wout VAN AERT', 'Stefan KÜNG', 'Matteo JORGENSON', 'Wout VAN AERT', 'Gianni VERMEERSCH', 'Mathieu VAN DER POEL']","['72', '55', '72', '55', '11', '191', '204', '11', '6', '1', '69', '20']","[(1315, 350, 1419, 452), (834, 394, 910, 482), (1417, 343, 1523, 441), (917, 390, 989, 480), (949, 222, 1020, 287), (690, 239, 756, 305), (1146, 288, 1236, 380), (959, 237, 1018, 295), (1045, 235, 1122, 296), (762, 262, 837, 319), (1070, 235, 1131, 292), (1228, 284, 1314, 377)]"
299,"['Kasper ASGREEN', 'Mads PEDERSEN', 'Kasper ASGREEN', 'Mads PEDERSEN', 'Wout VAN AERT', 'Stefan KÜNG', 'Matteo JORGENSON', 'Gianni VERMEERSCH', 'Mathieu VAN DER POEL']","['72', '55', '72', '55', '11', '191', '204', '6', '1', '69', '20']","[(1332, 339, 1445, 447), (843, 386, 918, 478), (1441, 336, 1547, 436), (924, 383, 1000, 473), (949, 216, 1021, 280), (695, 233, 764, 299), (1153, 283, 1243, 371), (1070, 228, 1139, 285), (762, 246, 842, 306), (1070, 235, 1131, 292), (1233, 276, 1311, 363)]"
300,"['Kasper ASGREEN', 'Mads PEDERSEN', 'Kasper ASGREEN', 'Mads PEDERSEN', 'Wout VAN AERT', 'Stefan KÜNG', 'Matteo JORGENSON', 'Gianni VERMEERSCH', 'Mathieu VAN DER POEL', 'Matteo JORGENSON']","['72', '55', '72', '55', '11', '191', '204', '6', '1', '69', '204']","[(1349, 330, 1463, 437), (852, 384, 928, 474), (1456, 326, 1567, 426), (932, 378, 1013, 471), (954, 211, 1023, 283), (704, 227, 768, 291), (1158, 275, 1248, 364), (1041, 223, 1112, 291), (771, 242, 847, 298), (1094, 223, 1150, 282), (1241, 269, 1321, 357)]"
